"Date","Desktop","Mobile","Tablet"
2010-01,98.44,1.56,0
2010-02,98.28,1.72,0
2010-03,98.04,1.96,0
2010-04,97.82,2.18,0
2010-05,97.68,2.32,0
2010-06,97.43,2.57,0
2010-07,97.14,2.86,0
2010-08,96.79,3.21,0
2010-09,96.5,3.5,0
2010-10,96.19,3.81,0
2010-11,95.98,4.02,0
2010-12,95.9,4.1,0
2011-01,95.7,4.3,0
2011-02,95.55,4.45,0
2011-03,95.3,4.7,0
2011-04,94.79,5.21,0
2011-05,94.25,5.75,0
2011-06,93.47,6.53,0
2011-07,92.98,7.02,0
2011-08,92.88,7.12,0
2011-09,93.26,6.74,0
2011-10,93.45,6.55,0
2011-11,93.05,6.95,0
2011-12,91.96,8.04,0
2012-01,91.51,8.49,0
2012-02,91.47,8.53,0
2012-03,91.01,8.99,0
2012-04,90.42,9.58,0
2012-05,89.89,10.11,0
2012-06,89.6,10.4,0
2012-07,88.91,11.09,0
2012-08,85.69,11.44,2.86
2012-09,85.33,11.66,3.01
2012-10,85.02,11.92,3.06
2012-11,84.13,12.66,3.22
2012-12,82.42,14.04,3.54
2013-01,82.41,13.56,4.03
2013-02,81.86,13.71,4.43
2013-03,81.69,13.79,4.52
2013-04,82.43,13.31,4.27
2013-05,81.68,13.98,4.33
2013-06,80.01,15.33,4.66
2013-07,78.66,16.51,4.83
2013-08,78.08,17.14,4.78
2013-09,78.39,16.98,4.63
2013-10,76.68,18.78,4.54
2013-11,76.13,19.08,4.78
2013-12,72.55,22.18,5.27
2014-01,71.95,22.39,5.66
2014-02,70.99,23.25,5.76
2014-03,70.23,23.93,5.84
2014-04,70.61,23.56,5.83
2014-05,68.55,25.41,6.04
2014-06,66.93,26.66,6.4
2014-07,65.83,27.51,6.66
2014-08,64.65,28.57,6.78
2014-09,63.84,29.36,6.8
2014-10,62.77,30.67,6.56
2014-11,61.92,31.54,6.54
2014-12,61.68,31.82,6.5
2015-01,62.38,31.06,6.55
2015-02,62.62,30.81,6.57
2015-03,62.26,31.58,6.17
2015-04,62.71,31.56,5.73
2015-05,61.49,32.82,5.69
2015-06,60.11,34.21,5.68
2015-07,57,37.15,5.85
2015-08,55.22,39.18,5.6
2015-09,55.91,38.78,5.31
2015-10,55.86,39.01,5.14
2015-11,57.21,37.62,5.17
2015-12,56.25,38.62,5.13
2016-01,55.86,38.88,5.26
2016-02,55.82,38.96,5.22
2016-03,54.19,40.6,5.2
2016-04,53.54,41.32,5.14
2016-05,51.46,43.5,5.04
2016-06,53.22,41.61,5.16
2016-07,50.1,44.75,5.15
2016-08,50.61,44.41,4.98
2016-09,50.28,44.91,4.81
2016-10,48.74,46.53,4.73
2016-11,46.93,48.25,4.82
2016-12,44.79,50.31,4.9
2017-01,45.27,49.6,5.13
2017-02,45.23,49.73,5.04
2017-03,44.36,50.75,4.88
2017-04,43.23,51.95,4.82
2017-05,43.59,51.7,4.71
2017-06,42.19,53.03,4.78
2017-07,41.22,53.99,4.79
2017-08,42.75,52.64,4.62
2017-09,43.29,52.29,4.42
2017-10,44.78,50.87,4.35
2017-11,45.68,50.02,4.3
2017-12,43.26,52.48,4.26
2018-01,43.87,51.92,4.21
